Exam,Base model,RLHF model
LSAT (MCQ),67.0 %,72.0 %
SAT EBRW - Reading Portion,92.3 %,90.4 %
SAT EBRW - Writing Portion,90.9 %,84.1 %
SAT Math (MCQ),91.4 %,86.2 %
Graduate Record Examination (GRE) Quantitative,57.5 %,67.5 %
Graduate Record Examination (GRE) Verbal,87.5 %,90.0 %
USNCO Local Section Exam 2022,51.7 %,63.3 %
AP Art History (MCQ),72.5 %,66.2 %
AP Biology (MCQ),98.3 %,96.7 %
AP Calculus BC (MCQ),66.7 %,57.8 %
AP Chemistry (MCQ),58.3 %,71.7 %
AP English Language and Composition (MCQ),55.6 %,51.1 %
AP English Literature and Composition (MCQ),63.6 %,69.1 %
AP Environmental Science (MCQ),72.5 %,67.5 %
AP Macroeconomics (MCQ),83.3 %,76.7 %
AP Microeconomics (MCQ),90.0 %,76.7 %
AP Physics 2 (MCQ),62.2 %,71.1 %
AP Psychology (MCQ),98.0 %,96.0 %
AP Statistics (MCQ),60.0 %,62.5 %
AP US Government (MCQ),85.5 %,83.6 %
AP US History (MCQ),89.1 %,87.3 %
AP World History (MCQ),94.5 %,98.2 %
MKSAP Questions (MCQ),77.9 %,74.7 %
AMC 10,28.0 %,24.0 %
AMC 12,20.0 %,32.0 %
Introductory Sommelier (theory knowledge),90.5 %,92.2 %
Certified Sommelier (theory knowledge),83.2 %,86.2 %
Advanced Sommelier (theory knowledge),74.8 %,77.1 %
Average,73.7 %,74.0 %
