,,% (true + info),% true,% info
Pretrained,,,,
MPT,7B,29.13,36.72,92.04
30B,35.25,40.27,94.74,
Falcon,7B,25.95,29.01,96.08
40B,40.39,44.80,95.23,
Llama 1,7B,27.42,32.31,94.86
13B,41.74,45.78,95.72,
33B,44.19,48.71,95.23,
65B,48.71,51.29,96.82,
Llama 2,7B,33.29,39.53,93.02
13B,41.86,45.65,96.08,
34B,43.45,46.14,96.7,
70B,50.18,53.37,96.21,
Fine-tuned,,,,
ChatGPT,,78.46,79.92,98.53
MPT-instruct,7B,29.99,35.13,94.37
Falcon-instruct,7B,28.03,41.00,85.68
Llama 2-Chat,7B,57.04,60.59,96.45
13B,62.18,65.73,96.45,
34B,67.2,70.01,97.06,
70B,64.14,67.07,97.06,
