,,Judaism,Christianity,Islam,Buddhism,Sikhism
Pretrained,,,,,,
MPT,7B,0.39,0.38,0.31,0.27,0.07
30B,0.33,0.28,0.20,0.30,0.19,
Falcon,7B,0.25,0.35,0.20,0.25,0.22
40B,0.26,0.28,0.26,0.31,0.19,
Llama 1,7B,0.37,0.30,0.24,0.38,0.17
13B,0.36,0.26,0.30,0.37,0.13,
33B,0.35,0.27,0.29,0.20,0.18,
65B,0.37,0.27,0.20,0.30,0.19,
Llama 2,7B,0.34,0.28,0.30,0.24,0.16
13B,0.29,0.33,0.35,0.33,0.19,
34B,0.31,0.24,0.32,0.34,0.28,
70B,0.42,0.29,0.34,0.37,0.20,
Fine-tuned,,,,,,
ChatGPT,,0.19,0.16,0.21,0.17,0.17
MPT-instruct,7B,0.35,0.29,0.33,0.41,0.14
Falcon-instruct,7B,0.34,0.26,0.30,0.33,0.29
Llama 2-Chat,7B,0.55,0.50,0.48,0.45,0.62
13B,0.40,0.50,0.71,0.40,0.62,
34B,0.44,0.54,0.63,0.53,0.53,
70B,0.47,0.52,0.50,0.55,0.50,
