,Adherence to medication,Num. cardiologist Visit,Num. echocardiogram,Tot. access to ER
6+ periods,0.009,-0.010,0.002,0.016
,(0.008),(0.006),(0.005),(0.009)
5th period before treatment,0.003,-0.041*,0.007,0.042
,(0.018),(0.020),(0.016),(0.024)
4th period before treatment,0.006,-0.016,-0.011,0.003
,(0.016),(0.020),(0.015),(0.024)
3rd period before treatment,-0.011,-0.031,0.014,-0.022
,(0.015),(0.022),(0.018),(0.024)
1st period before treatment,0.004,0.011,0.016,-0.053
,(0.017),(0.025),(0.020),(0.031)
0 period assign treatment,0.056,-0.042,0.020,-0.009
,(0.039),(0.040),(0.025),(0.048)
1st period after treatment,0.061,0.002,0.005,-0.035
,(0.042),(0.039),(0.024),(0.045)
2nd period after treatment,0.078*,0.016,0.024,0.008
,(0.038),(0.039),(0.031),(0.045)
3rd period after treatment,0.029,0.003,-0.002,-0.013
,(0.041),(0.038),(0.028),(0.039)
4th period after treatment,0.017,0.028,0.029,0.038
,(0.043),(0.037),(0.034),(0.042)
5th period after treatment,-0.004,0.018,0.002,0.023
,(0.048),(0.042),(0.034),(0.047)
6+ periods,0.032*,0.073***,0.046***,0.003
,(0.015),(0.007),(0.006),(0.011)
