System,Property,SSTL Formula,Result,Time
Traffic Light,[ φ m ​ u ​ t ​ e ​ x ] [\varphi_{mutex}],□ ​ ¬ ( N ​ S g ​ r ​ e ​ e ​ n = 1 ∧ E ​ W g ​ r ​ e ​ e ​ n = 1 ) \square\neg(NS_{green}=1\land EW_{green}=1),Satisfied,1.713s
[ φ N ​ S ​ _ ​ s ​ a ​ f ​ e ] [\varphi_{NS\_safe}],□ ​ ( N ​ S g ​ r ​ e ​ e ​ n = 1 → E ​ W r ​ e ​ d = 1 ) \square(NS_{green}=1\rightarrow EW_{red}=1),Satisfied,1.502s,
[ φ E ​ W ​ _ ​ s ​ a ​ f ​ e ] [\varphi_{EW\_safe}],□ ​ ( E ​ W g ​ r ​ e ​ e ​ n = 1 → N ​ S r ​ e ​ d = 1 ) \square(EW_{green}=1\rightarrow NS_{red}=1),Satisfied,1.624s,
[ φ f ​ a ​ i ​ r ​ n ​ e ​ s ​ s ] [\varphi_{fairness}],□ ​ ◆ ​ ( N ​ S g ​ r ​ e ​ e ​ n = 1 ) \square\lozenge(NS_{green}=1),Not Satisfied,1.559s,
[ φ l ​ i ​ v ​ e ​ n ​ e ​ s ​ s ​ _ ​ N ​ S ] [\varphi_{liveness\_NS}],◆ ​ ( N ​ S g ​ r ​ e ​ e ​ n = 1 ) \lozenge(NS_{green}=1),Satisfied,1.475s,
[ φ r ​ e ​ s ​ p ​ o ​ n ​ s ​ e ​ _ ​ N ​ S ​ _ ​ y ​ e ​ l ​ l ​ o ​ w ] [\varphi_{response\_NS\_yellow}],□ ​ ( N ​ S g ​ r ​ e ​ e ​ n = 1 → ◆ ​ ( N ​ S y ​ e ​ l ​ l ​ o ​ w = 1 ) ) \square(NS_{green}=1\rightarrow\lozenge(NS_{yellow}=1)),Satisfied,1.539s,
[ φ b ​ o ​ u ​ n ​ d ​ e ​ d ​ _ ​ N ​ S ​ _ ​ y ​ e ​ l ​ l ​ o ​ w ] [\varphi_{bounded\_NS\_yellow}],"□ ​ ( N ​ S g ​ r ​ e ​ e ​ n = 1 → ◆ [ [ 3 ] , [ 5 ] ] ​ ( N ​ S y ​ e ​ l ​ l ​ o ​ w = 1 ) ) \square(NS_{green}=1\rightarrow\lozenge_{[[3],[5]]}(NS_{yellow}=1))",Satisfied,2.093s,
Pedestrian Crossing,[ φ n ​ o ​ _ ​ c ​ o ​ n ​ f ​ l ​ i ​ c ​ t ] [\varphi_{no\_conflict}],□ ​ ¬ ( c ​ a ​ r ​ s g ​ r ​ e ​ e ​ n = 1 ∧ w ​ a ​ l ​ k s ​ i ​ g ​ n ​ a ​ l = 1 ) \square\neg(cars_{green}=1\land walk_{signal}=1),Satisfied,275.288s
[ φ q ​ u ​ e ​ u ​ e ​ _ ​ b ​ o ​ u ​ n ​ d ​ e ​ d ] [\varphi_{queue\_bounded}],□ ​ ( w ​ a ​ i ​ t ​ i ​ n ​ g p ​ e ​ d ​ s ≤ 5 ∧ w ​ a ​ i ​ t ​ i ​ n ​ g p ​ e ​ d ​ s ≥ 0 ) \square(waiting_{peds}\leq 5\land waiting_{peds}\geq 0),Satisfied,309.154s,
[ φ t ​ h ​ r ​ e ​ s ​ h ​ o ​ l ​ d ​ _ ​ w ​ a ​ l ​ k ] [\varphi_{threshold\_walk}],□ ​ ( w ​ a ​ i ​ t ​ i ​ n ​ g p ​ e ​ d ​ s ≥ 2 → ◆ ​ ( w ​ a ​ l ​ k s ​ i ​ g ​ n ​ a ​ l = 1 ) ) \square(waiting_{peds}\geq 2\rightarrow\lozenge(walk_{signal}=1)),Not Satisfied,2.293s,
[ φ b ​ o ​ u ​ n ​ d ​ e ​ d ​ _ ​ w ​ a ​ i ​ t ] [\varphi_{bounded\_wait}],"□ ​ ( ( c ​ a ​ r ​ s g ​ r ​ e ​ e ​ n = 1 ∧ w ​ a ​ i ​ t ​ i ​ n ​ g p ​ e ​ d ​ s ≥ 2 ) → ◆ [ [ 2 ] , [ 5 ] ] ​ ( w ​ a ​ l ​ k s ​ i ​ g ​ n ​ a ​ l = 1 ) ) \square((cars_{green}=1\land waiting_{peds}\geq 2)\rightarrow\lozenge_{[[2],[5]]}(walk_{signal}=1))",Not Satisfied,1.627s,
Healthy heart model,[ φ A ​ V ] [\varphi_{AV}],"□ ​ ( A E ​ G ​ M ≥ V a , t ​ h → ◆ [ [ 0.180 ] , [ 0.240 ] ] ​ ( V E ​ G ​ M ≥ V v , t ​ h ) ) \square(A_{EGM}\geq V_{a,th}\rightarrow\lozenge_{[[0.180],[0.240]]}(V_{EGM}\geq V_{v,th}))",Satisfied,65.879s
[ φ V ​ V ] [\varphi_{VV}],"□ ​ ( V E ​ G ​ M ≥ V v , t ​ h → ◆ [ [ 0.6 ] , [ 1.00 ] ] ​ ( V E ​ G ​ M > V v , t ​ h ) ) \square(V_{EGM}\geq V_{v,th}\rightarrow\lozenge_{[[0.6],[1.00]]}(V_{EGM}>V_{v,th}))",Satisfied,57.497s,
[ φ l ​ i ​ v ​ e ​ n ​ e ​ s ​ s ​ _ ​ A ] [\varphi_{liveness\_A}],"◆ ​ ( A E ​ G ​ M > V a , t ​ h ) \lozenge(A_{EGM}>V_{a,th})",Satisfied,6.757s,
[ φ l ​ i ​ v ​ e ​ n ​ e ​ s ​ s ​ _ ​ V ] [\varphi_{liveness\_V}],"◆ ​ ( V E ​ G ​ M > V v , t ​ h ) \lozenge(V_{EGM}>V_{v,th})",Satisfied,6.437s,
